rank,layer,neuron,score
566,7,4634,0.5259456639049237
567,10,4358,0.5256702783630602
568,10,66,0.5255515447403548
569,8,61,0.5252119076049288
570,13,6350,0.5250329478360628
571,8,7974,0.5250036739711088
572,11,2545,0.5249602035225653
573,8,1281,0.5248735461495273
574,10,7425,0.5247457325016659
575,8,4700,0.5244591792977639
576,8,3213,0.5242820863570384
577,11,4851,0.524156781977528
578,7,5190,0.524081940399754
579,7,3123,0.5238390810668534
580,10,9033,0.5237848813996431
581,14,5262,0.523323932498076
582,4,5489,0.5231345674476793
583,17,6358,0.5229765453880234
584,7,9144,0.5228627265479673
585,15,2203,0.5227940646396348
586,11,2499,0.5223082124748545
587,11,404,0.5222562192681129
588,13,6361,0.5220351277247248
589,5,5348,0.5219097429711107
590,12,3785,0.5216841901205932
591,13,7864,0.5216358736552703
592,7,7082,0.5213765291488998
593,12,7306,0.5205912982173917
594,9,8254,0.5205335967898163
595,9,973,0.5205224195475326
596,13,8391,0.5202680059411561
597,6,2532,0.5202495053962815
598,10,8576,0.5200758063231679
599,12,9115,0.5200044433935989
600,12,5586,0.5199640242914237
601,13,3794,0.5198680925414266
602,9,7126,0.519634715434897
603,7,8367,0.5195976959443073
604,6,8073,0.519402640256345
605,6,6875,0.5192649223034574
606,22,5931,0.5189351629550802
607,9,2244,0.5188031394669367
608,13,3960,0.5185835041582202
609,8,7950,0.5181745262559668
610,13,837,0.518102230486725
611,9,4178,0.5179588738249775
612,6,8,0.5178870477612335
613,7,6768,0.5178790240943751
614,13,9090,0.5175726790581114
615,13,862,0.517279282947043
616,10,7773,0.5169844036821507
617,12,2869,0.5169397306597758
618,7,4718,0.5168180367227811
619,11,9014,0.5166776958596171
620,11,877,0.516592705675268
621,7,6036,0.5165751489527077
622,11,1663,0.5164762119372023
623,12,5814,0.5163489844435193
624,6,3685,0.5160628990616717
625,7,2230,0.5157724857123508
626,6,1759,0.5157178230671436
627,6,2659,0.515337592120511
628,11,2214,0.5151863187945468
629,11,3909,0.5151629119511654
630,11,9102,0.5144573095269243
631,12,2075,0.5143670339421186
632,13,7857,0.5142118222792403
633,13,7984,0.5141385250587347
634,10,605,0.5139232300768642
635,12,7162,0.5133115106363971
636,6,982,0.5132576402259057
637,13,4678,0.5129938816237755
638,11,3194,0.5129208839079222
639,12,3102,0.5128096818431194
640,13,8229,0.5127330927595793
641,8,3970,0.5126419891870093
642,12,2013,0.5125294927524334
643,12,7281,0.511956770976963
644,10,3041,0.5117416992059624
645,13,7880,0.5113265071815895
646,11,7493,0.5113227626928518
647,12,2413,0.5110458823798226
648,10,4934,0.5108773300072367
649,8,8594,0.5105711772623259
650,9,258,0.510503940495738
651,6,4074,0.5105026692263239
652,10,4185,0.5105003006175688
653,13,1880,0.5097454009982747
654,13,4024,0.5096969944347342
655,7,8691,0.5096533487691433
656,14,27,0.5093519641453657
657,12,6002,0.5090779540794031
658,7,4197,0.5087818052862888
659,9,4604,0.5084108855198999
660,4,3163,0.5083872245763419
661,7,4079,0.5082074220310863
662,14,8528,0.507744321189295
663,10,316,0.5076889368885039
664,12,8703,0.507637239661354
665,12,699,0.5074775734110628
666,8,4254,0.5072368572271567
667,11,6175,0.5070837772877568
668,12,406,0.5066577801052031
669,12,8716,0.5062694207406068
670,8,6074,0.505791303729079
671,8,1404,0.5055998556897833
672,11,101,0.5052109060282157
673,7,7363,0.5049994603725106
674,15,6086,0.5044034668830648
675,8,2216,0.5042448277841206
676,5,8086,0.5041058694093797
677,11,3332,0.503977173151047
678,10,4708,0.5039520514386786
679,9,4211,0.5039372940768571
680,11,7382,0.5036876524946989
681,5,7383,0.5036803093515853
682,7,7977,0.5036395720143761
683,13,3287,0.5033959013856535
684,7,2547,0.503321370518149
685,15,4865,0.5031158069317639
686,12,6134,0.5029367480470341
687,12,4450,0.502890779554215
688,5,3962,0.5025839277017613
689,8,1238,0.5021162447332224
690,6,6718,0.5020648176546125
691,14,4007,0.5020460038330786
692,5,1677,0.5019080718619429
693,10,4019,0.5014439929098591
694,10,7096,0.5012414121440607
695,10,5406,0.5003176235299784
696,10,1309,0.500259541384144
697,6,7615,0.5002211446827406
698,10,6724,0.5000090202690342
699,9,1135,0.49983501958256876
700,14,7484,0.499784681284816
701,10,3319,0.4996709921681437
702,14,4173,0.49951194598809795
703,6,7492,0.4994927196342519
704,7,8553,0.499292439342963
705,13,7192,0.49899917933873417
706,13,8748,0.4988437463304113
707,10,1379,0.4984947788068239
708,7,973,0.4980594422056224
709,10,8734,0.4979422049550124
710,12,7988,0.4978544849636107
711,7,3529,0.4977080965287301
712,13,1947,0.49738047234571303
713,13,6137,0.4972335069917211
714,11,5530,0.497225930044982
715,13,1855,0.49709309344949937
716,10,8667,0.4965147907863982
717,9,7816,0.49631074808391246
718,9,2403,0.49612267976686103
719,7,7885,0.49593213886324816
720,13,733,0.4958233648114182
721,9,4328,0.49568379599830664
722,9,6007,0.4952235143101611
723,3,1541,0.4950724272301217
724,14,7320,0.49499670768287185
725,13,2953,0.49473007024898236
726,8,7059,0.4944247933583283
727,13,19,0.4944245743020726
728,14,4952,0.494363663135185
729,5,2202,0.4943155067730361
730,11,706,0.49373934490900045
731,5,5501,0.4933069045696142
732,12,8285,0.49325041050308477
733,13,5945,0.4930722816916629
734,15,5915,0.49301145821962405
735,7,8478,0.4929425990773502
736,11,4527,0.4927741267918419
737,14,4466,0.4926884152555857
738,6,5099,0.492632133099977
739,7,7119,0.49259094245690876
740,14,8068,0.4923082448212551
741,6,4099,0.49230390207136315
742,7,204,0.491946800440302
743,8,614,0.49155611061310683
744,10,2309,0.4914741238102726
745,12,7249,0.49140977552813264
746,11,4974,0.49127465412721577
747,6,5360,0.49112707560617436
748,9,710,0.49110739640154333
749,8,2246,0.49104824151353343
750,9,1799,0.4907032487452574
751,7,3501,0.49057993067860706
752,9,8921,0.4905168732488752
753,10,7924,0.49046856226332364
754,5,6178,0.4903076408028638
755,5,7758,0.4900380620977224
756,7,1056,0.4899454864561811
757,9,2276,0.4897408034952652
758,13,8238,0.48935933296266276
759,8,6706,0.48885318813700274
760,13,4950,0.48879395102413065
761,6,2879,0.4887734755837449
762,14,3293,0.48852444736434175
763,14,7513,0.4883597659650888
764,16,1399,0.4882711566076185
765,7,6710,0.4882616835967636
766,12,2064,0.4881561781785366
767,12,3196,0.4877911755899586
768,12,7456,0.48748284727837465
769,22,3570,0.4871191939395276
770,12,4369,0.486962062969582
771,10,860,0.48693652093697265
772,7,7789,0.48687301737278377
773,9,7686,0.4868012611870342
774,7,5209,0.4864680598806473
775,13,3365,0.48634945781200184
776,12,3482,0.48631693371424745
